No. Cores, Actual, Ideal, Memory (GB), Memory (%)
8,8.85e+04,8.85e+04, 4.8, 3.75
32,3.48e+05,3.54e+05, --, -- 
56,5.61e+05,6.19e+05, --, --
88,7.52e+05,9.73e+05, --, --
112,9.08e+05,1.24e+06, 52.27, 40.8
