No. Cores, Actual, Ideal
1,8.32E+03,8.32E+03
2,1.62E+04,16.64E+03
4,3.15E+04,33.28E+03
8,5.74E+04,66.56
16,1.04E+05,131.12
32,2.04E+05,266.24
36,2.29E+05,299.53
