No. Cores, Actual, Ideal
4,2.672975e+04,2.672975e+04
8,5.039091e+04,5.34595e+04
18,9.831885e+04,1.20283875e+05
26,1.398838e+05,1.73743375e+05
36,1.916970e+05,2.4056775e+05
