No. Cores, Actual, Ideal
4,2.684886e+04,2.684886e+04
8,4.881019e+04,5.369772e+04
18,9.842713e+04,1.2081987e+05
26,1.416926e+05,1.7451759e+05
36,1.931497e+05,2.4163974e+05
