No. Cores, Actual, Ideal, Memory (GB)
8,9.27E+04,9.27e+04, 26.026, 20.3 
32,3.80E+05,3.80E+05, --, --
56,5.80E+05,6.44E+05, --, --
88,7.90E+05,1.01E+06, --, --
112,9.59E+05,1.29E+06, 73.46, 57.3
