# mpi ranks, Mem for PSI (kb), process rss mem (kb), # solver unknowns (extents of PSI), total # flux iterations, # time steps, walltime(seconds),energy check, energy in radiation field, maximum electron temperature, maximum radiation temperature, incident power, escaping power, power absorbed, power emitted
1, 13824, 1673600, 1769472, 10, 5, 3.278877662, -2.842190155958661e-24, 4.583969299915491e-09, 0.5, 0.02437482998253893, 0, 5.245092065849119e-06, 0, 0
1, 110592, 1349504, 14155776, 10, 5, 3.352812938, -5.055726270205971e-24, 4.271469800978402e-09, 0.5, 0.02409091420326741, 0, 5.08618453963459e-06, 0, 0
1, 373248, 2270784, 47775744, 10, 5, 4.05334021, -1.729745053923296e-23, 4.286421584799032e-09, 0.5, 0.02421770420169241, 0, 5.059821223645072e-06, 0, 0
1, 884736, 3834240, 113246208, 10, 5, 4.943882251, -1.120287332558002e-23, 4.340391594702597e-09, 0.5, 0.02433810386837314, 0, 5.064122564223881e-06, 0, 0
1, 1728000, 6670464, 221184000, 10, 5, 6.184394341, -2.385566639490607e-23, 4.392645791288048e-09, 0.5, 0.02449706349301939, 0, 5.075575864910605e-06, 0, 0
1, 2985984, 10010432, 382205952, 10, 5, 8.241925127, -1.60076315259386e-23, 4.437765614676644e-09, 0.5, 0.02458664019348389, 0, 5.087815228474174e-06, 0, 0
