No. Cores,Actual,Ideal
1,33.56245,33.56245
2,61.10145,67.1249
4,121.2445833,134.2498
8,224.82665,268.4996
16,362.8721333,536.9992
32,501.6367667,1073.9984
48,551.21695,1610.9976
