No. Cores,Actual,Ideal,Memory (GiB)
1,27.083,27.083,11.23
2,48.984,54.166,11.23
4,86.519,108.332,11.37
8,147.291,216.664,11.47
16,245.349,433.328,11.71
32,347.010,866.656,12.34
48,406.431,1299.984,12.76
