No. cores,Actual,Ideal
1,2.7956E+06,2.7956E+06
2,5.0762E+06,5.5913E+06
4,9.3707E+06,1.1183E+07
8,1.7585E+07,2.2365E+07
16,3.2401E+07,4.4730E+07
32,5.8306E+07,8.9460E+07
64,1.0401E+08,1.7892E+08
