Nodes,Problem1,Problem2,Problem1/Node,Problem2/Node
32,6.64e+09,2e+09,2.07e+08,6.25e+07
64,2.03e+09,3.29e+08,3.18e+07,5.14e+06
96,2.84e+09,4.67e+08,2.96e+07,4.86e+06
