No. Cores,Actual,Ideal
1,1.1229E+08,1.1229E+08
2,2.0458E+08,2.2458E+08
4,4.3591E+08,4.0917E+08
8,9.1165E+08,8.7182E+08
16,1.6374E+09,1.8233E+09
32,2.7721E+09,3.2748E+09
64,3.7537E+09,5.5442E+09
