No. cores,Actual,Ideal
1,1.6000E+08,1.6000E+08
2,3.0493E+08,3.2000E+08
4,5.6314E+08,6.4000E+08
8,1.1901E+09,1.2800E+09
16,2.1349E+09,2.5600E+09
32,2.9680E+09,5.1200E+09
64,4.7134E+09,1.0240E+10
