No. Cores,Actual,Ideal
1,1.5439E+08,1.5439E+08
2,3.0928E+08,3.0878E+08
4,6.1186E+08,6.1856E+08
8,1.2332E+09,1.2237E+09
16,2.2558E+09,2.4664E+09
32,3.8587E+09,4.5116E+09
64,5.2102E+09,7.7173E+09
