No. Cores,Actual,Ideal
1,1.5764E+08,1.5764E+08
2,3.2136E+08,3.1528E+08
4,6.2737E+08,6.4271E+08
8,1.2594E+09,1.2547E+09
16,2.4238E+09,2.5187E+09
32,3.9883E+09,4.8476E+09
64,5.2592E+09,7.9766E+09
