Nodes,Actual,Ideal,Memory GB,Memory %
8,5.56e+05,5.56e+05,46,37.07
32,1.12e+06,2.22e+06,48,39.03
56,1.51e+06,3.89e+06,50,40.23
88,2.4e+06,6.11e+06,51,41.54
112,3.19e+06,7.78e+06,53,42.75
