Photons (in M),8,32,56,88,112
10,3.9e+05,1.12e+06,1.57e+06,2.47e+06,3.2e+06
66,5.4e+05,1.12e+06,1.52e+06,2.4e+06,3.16e+06
200,5.56e+05,1.12e+06,1.51e+06,2.4e+06,3.19e+06
