Nodes,Actual,Ideal,Memory GB,Memory %
8,5.4e+05,5.4e+05,16,13.05
32,1.12e+06,2.16e+06,18,14.5
56,1.52e+06,3.78e+06,19,15.42
88,2.4e+06,5.94e+06,20,16.72
112,3.16e+06,7.56e+06,22,17.72
