No. Cores, Actual, Ideal
4,2.684683e+04,2.684683e+04
8,5.046809e+04,5.369366e+04
18,9.855907e+04,1.20810735e+05
26,1.413827e+05,1.74504395e+05
36,1.915213e+05,2.4162147e+05
