No. Cores, Actual, Ideal
4, 5.48e+05, 5.4800000e+05
8, 1.02e+06, 1.0960000e+06
18, 2.03e+06, 2.4660000e+06
26, 2.78e+06, 3.5620000e+06
36, 3.55e+06, 4.9320000e+06
