No. Cores, Actual, Ideal
4, 5.69e+05, 5.6900000e+05
8, 1.06e+06, 1.1380000e+06
18, 2.11e+06, 2.5605000e+06
26, 2.86e+06, 3.6985000e+06
36, 3.64e+06, 5.1210000e+06
