unknowns, throughput
49152,120022.0986
393216,1217089.688
1327104,3999486.093
3145728,9431417.414
6144000,16331035.97
10616832,26221540.93
16859136,41053108.77
25165824,47258709.76
35831808,57249118.34
49152000,53069635.92
65421312,53391475.46
84934656,57150762.59
107986944,61442310.83
134873088,52869974.38
165888000,55939987.49
201326592,54680094.61
241483776,58094977.75
286654464,56477371.49
337133568,56763670.5
393216000,56686957.8
455196672,56063165.34
