No. Particles,Actual
100000,1.93E+05
200000,3.45E+05
300000,4.42E+05
400000,5.27E+05
500000,5.97E+05
600000,6.48E+05
700000,6.90E+05
800000,7.26E+05
900000,7.57E+05
1000000,7.84E+05
2000000,9.50E+05
3000000,9.76E+05
4000000,9.74E+05
5000000,9.58E+05
6000000,9.22E+05
8000000,8.90E+05
9000000,8.78E+05
10000000,8.59E+05
15000000,7.94E+05
20000000,7.43E+05
50000000,5.45E+05
