No. Cores,Pattern 0,Pattern 1,Pattern 2,Pattern 3,Pattern 4,Pattern 5,Pattern 6,Pattern 7,Pattern 8
1,8662.8,8754.09,9020.11,9054.99,8666.54,8998.59,8965.83,8866.5,8962.74
2,8696.25,8766.58,9004.79,8997.83,8685.01,8935.4,8957.55,8945.94,8919.17
4,8698.83,8768.89,9019.4,9029.0,8705.56,8921.25,8959.9,8933.07,8952.92
8,8352.42,8394.27,8634.86,8613.14,8342.7,8583.92,8599.09,8511.9,8478.92
16,7888.18,7484.45,8232.49,8233.19,7517.52,8220.65,8302.18,8328.19,8305.77
22,7102.42,6335.07,7084.19,7102.08,6210.44,7120.0,7078.86,7107.23,7060.94
