No. Cores,Pattern 0,Pattern 1,Pattern 2,Pattern 3,Pattern 4,Pattern 5,Pattern 6,Pattern 7
1,7367.2,6232.75,6245.02,5238.22,8201.42,8704.0,8492.98,8411.58
2,7710.39,6141.35,6133.69,5354.95,8146.06,8481.75,8423.28,8511.41
4,7616.48,6151.29,6152.9,5538.89,8027.27,8303.08,8314.41,8329.35
8,7555.02,6168.92,6155.9,5408.3,8023.16,8208.28,8221.15,8196.91
16,7245.97,5829.68,5825.89,5196.54,7651.76,7915.78,7906.73,7909.11
22,6947.39,5490.36,5441.78,4923.12,7406.51,7699.24,7650.08,7705.16
32,5486.57,4032.07,3902.23,3796.02,5893.83,6004.02,5908.9,6036.29
44,3880.45,2647.04,2546.03,2802.28,4725.85,5330.4,5208.03,4921.7
