No. Gathers/Scatters,Pattern 0,Pattern 1,Pattern 2,Pattern 3,Pattern 4,Pattern 5,Pattern 6,Pattern 7
512,512000.0,497899.34,513001.97,497899.34,509017.45,150311.93,150311.93,150311.93
1024,750591.24,750591.24,768187.53,767625.16,749518.26,134295.08,134295.08,134847.74
2048,1159929.18,1024000.0,999595.85,1015570.03,1158007.7,137680.68,137680.68,137392.04
4096,1630755.82,1491043.02,1490513.14,1492103.89,1640964.07,163840.0,163227.89,163635.46
8192,2746760.99,2556722.9,2533557.18,2352385.92,2649592.0,249898.96,249898.96,250855.49
16384,2991657.71,2738243.25,2738690.14,2638341.78,2873795.03,249304.81,250137.42,251216.09
32768,3125704.09,2916508.57,2919553.76,2734004.16,3051790.18,250675.59,249660.96,249839.41
65536,1758065.22,1657049.83,1658770.19,1529686.2,1735244.94,237826.27,248683.97,250286.66
