No. Gathers/Scatters,Pattern 0,Pattern 1,Pattern 2,Pattern 3
512,596459.61,595781.81,851116.92,853889.22
1024,1009216.56,895453.49,1197004.6,1198372.53
2048,1299350.72,1119077.94,1522986.19,1519675.33
4096,1446311.74,1451316.32,1610097.48,1593580.54
8192,1610715.8,1529651.39,1812969.07,1816109.11
16384,1711436.92,1613038.7,1870161.17,1863513.87
32768,1763516.66,1640482.59,1908453.72,1908128.06
65536,1616068.55,1502425.98,1846490.91,1846490.91
