No. Cores,Pattern 0,Pattern 1,Pattern 2,Pattern 3,Pattern 4,Pattern 5,Pattern 6,Pattern 7
1,5104.01,4536.49,4536.69,3560.05,4307.59,4171.44,4127.89,4142.21
2,5576.21,4844.12,4833.82,3779.44,4594.85,4454.85,4449.23,4462.64
4,5567.57,4800.65,4809.98,3777.95,4594.11,4431.64,4431.14,4427.78
8,5629.25,4852.31,4840.91,3810.65,4632.51,4485.95,4477.6,4482.1
16,5435.23,4674.4,4663.95,3628.21,4426.94,4349.05,4346.48,4344.33
18,5431.95,4660.72,4514.86,3497.49,4301.4,4259.32,4247.54,4265.33
32,4931.07,3558.4,3657.51,3234.87,4067.81,3874.17,3855.85,4022.93
36,4676.58,3090.27,3448.31,3258.0,3792.35,3643.38,3827.61,3832.08
