No. Cores,Pattern 0,Pattern 1,Pattern 2,Pattern 3
1,3218.13,3185.57,3853.22,3866.29
2,3192.89,3176.35,3846.89,3859.05
4,3469.32,3427.08,4148.27,4147.29
8,3765.52,3723.09,4476.91,4491.75
16,3595.18,3481.83,4285.04,4316.58
18,3675.12,3628.18,4500.9,4513.39
32,3631.95,3345.44,4246.72,4138.32
36,3605.95,3115.11,4077.14,3910.35
