Pattern,0,1,2,3,4,5,6,7
1,5582.22,3772.29,4860.8,4881.99,3826.55,4468.9,4448.58,4474.06
2,11152.76,7605.53,9630.6,9614.61,7606.03,8883.58,8934.22,8906.55
4,22125.95,14846.3,19085.31,19076.58,14906.98,17636.35,17630.08,17629.33
8,44880.72,30339.08,38752.41,38827.6,30382.27,35806.75,35769.66,35851.07
16,90287.7,60112.81,77868.17,77852.72,60361.27,72546.48,72473.88,72473.04
18,95251.5,61198.37,78839.73,79112.95,60235.07,75207.56,75108.15,75301.35
32,163955.03,106203.79,128179.98,126071.91,100812.26,122200.2,122591.48,127644.1
36,178427.19,118138.5,138210.17,131834.98,114861.47,132934.89,136626.73,136091.29
