No. Gathers/Scatters,Pattern 0,Pattern 1,Pattern 2,Pattern 3,Pattern 4,Pattern 5,Pattern 6,Pattern 7
512,894689.45,596459.61,814111.78,599871.84,599186.27,303407.41,303407.41,303407.41
1024,1197004.6,900838.48,1133595.68,1132371.48,876735.77,312076.19,315076.93,315076.93
2048,1445314.97,1206646.75,1428577.65,1428577.65,1197688.22,319736.55,319687.8,319687.8
4096,1763053.42,1452321.28,1590558.93,1591766.2,1592370.52,322837.43,322837.43,322837.43
8192,1932858.99,1529930.31,1816109.11,1816109.11,1708474.09,324435.65,324435.65,324047.13
16384,2006124.09,1610870.49,1876646.07,1876646.07,1763980.32,325039.07,325039.07,325039.07
32768,2042763.33,1663168.82,1940011.16,1940684.34,1790524.63,325341.6,325341.6,325341.6
65536,2041023.8,1606666.7,1924765.13,1924875.58,1777953.79,325341.6,325392.09,325392.09
