No. Gathers/Scatters,Pattern 0,Pattern 1,Pattern 2,Pattern 3,Pattern 4,Pattern 5,Pattern 6,Pattern 7
512,802891.24,593085.99,574877.18,593085.99,804122.68,268590.17,273066.67,272924.52
1024,1194277.92,1133595.68,1129931.01,902388.98,1201117.97,315076.93,315076.93,315076.93
2048,1440351.62,1428577.65,1426634.0,1204567.5,1445314.97,319736.55,319687.8,319687.8
4096,1689208.18,1687848.65,1673704.72,1516927.25,1694668.29,322837.43,322837.43,322837.43
8192,1937322.9,1815323.08,1816895.82,1703270.65,1936875.48,324435.65,324435.65,324435.65
16384,2005884.18,1876436.12,1876436.12,1757696.75,1877275.98,324837.68,324837.68,324837.68
32768,2042017.49,1940572.08,1939562.5,1788329.78,1936204.94,325139.83,325139.83,325139.83
65536,1848118.14,1749585.8,1908670.69,1777859.57,1893430.67,323634.57,325341.6,325392.09
