No. Cores,Actual,Ideal,Memory (GiB)
1,33.259,33.259,93.86
2,65.506,66.519,93.85
4,119.683,133.038,93.98
8,230.232,266.075,94.08
16,363.815,532.151,94.29
32,477.281,1064.302,94.81
48,535.983,1596.453,95.23
