No. Cores,Bandwidth (MB/s),Total Bandwidth (MB/s)
1,10690.1,10690.1
2,10701.3,21402.6
4,9316.5,37266.0
8,7884.5,63076.0
16,7747.5,123960.0
32,5510.3,176329.6
36,3189.2,114811.2
