No. Cores, Actual, Ideal
8, 2.80e+06, 2.80e+06
32, 1.12e+07, 1.12e+07
56, 1.79e+07, 1.96e+07
88, 2.36e+07, 3.08e+07
112, 2.61e+07, 3.92e+07
