Nodes,384,448,512,576,640
32,4.88e+08,5.13e+08,4.63e+08,3.86e+08,4.12e+08
64,8.36e+08,9.17e+08,8.05e+08,7.48e+08,7.67e+08
96,1.2e+09,9.64e+08,1.1e+09,1.07e+09,1.04e+09
