No. Cores, Actual, Ideal
8, 2.40e+06, 2.40e+06
32, 9.56e+06, 9.60e+06
56, 1.54e+07, 1.68e+07
88, 2.16e+07, 2.64e+07
112, 2.44e+07, 3.36e+07
