NX,32,64,96
384,4.88e+08,8.36e+08,1.2e+09
448,5.13e+08,9.17e+08,9.64e+08
512,4.63e+08,8.05e+08,1.1e+09
576,3.86e+08,7.48e+08,1.07e+09
640,4.12e+08,7.67e+08,1.04e+09
