Processing Elements per NUMA Domain,Actual,Ideal,Memory (GiB)
7.1%,301.72,301.72,63.1
28.6%,1167.16,1206.89,65.3
50.0%,1846.06,2112.05,67.6
78.6%,2360.18,3318.93,71.5
100.0%,2488.92,4224.10,70.8
