Processing Elements per NUMA Domain,Actual,Ideal,Memory (GiB)
7.1%,303.76,303.76,96.2
28.6%,1174.55,1215.04,97.2
50.0%,1843.09,2126.32,98.4
78.6%,2380.88,3341.37,102.9
100.0%,2522.14,4252.65,103.5
