Processing Elements per NUMA Domain,Actual,Ideal,Memory (GiB)
7.1%,290.62,290.62,32.9
28.6%,1113.17,1162.48,34.4
50.0%,1805.52,2034.33,36.0
78.6%,2235.39,3196.81,37.7
100.0%,2389.00,4068.66,38.2
