"Key","Min","Mean","Max","Stdev","Range","Variability"
"035|14336",13.89032720192053,1670.861632087998,2229.740852609513,1104.6717398628086,2215.850525407592,1.3261723669114043
"035|229376",2018.8219578215483,2061.518403392063,2098.582220372039,40.17735368537882,79.76026255049078,0.03869005603794352
"035|114688",2117.154259673488,2129.634189087513,2136.9178434074265,8.90593709846802,19.763583733938503,0.009280271623741461
"035|57344",2152.8868733426934,2156.849397711436,2159.555585661571,2.8050763893135517,6.668712318877624,0.00309187666322627
"035|28672",2171.7481513088214,2182.817432259757,2194.721009500968,11.734508960283955,22.97285819214676,0.010524406600676703
"035|7168",2251.7573205057415,2269.1409879360413,2284.6777760666937,11.962141271322942,32.92045556095218,0.01450789339929727
"035|3584",2326.1027317410694,2361.198846517365,2386.7213057991307,26.547084062547363,60.61857405806131,0.025672795049629254
"035|1792",2456.4683287432945,2463.466301790144,2475.56970582798,8.379452619252966,19.101377084685737,0.007753861731660469
"035|448",2489.7588616401226,2533.561781707379,2565.860785769649,27.686549668795678,76.1019241295262,0.030037524515483006
"035|896",2514.2002337649797,2555.7535145766424,2575.3526070002135,28.094615570161164,61.15237323523388,0.023927336062125576
"035|112",2594.2053422355516,2616.4818828338884,2652.1052450549555,20.568944570232215,57.899902819403906,0.02212891409616528
"035|224",2595.964973659777,2612.409094977499,2643.3102610070086,19.41889045441462,47.34528734723153,0.018123228646790224
