Memory (%),Memory (GiB),ppc,No. Particles,Actual
28.9%,4.62,1,7122260,467.3134309
42.5%,6.81,2,14229882,588.2731042
59.7%,9.55,3,21386645,655.5729716
75.0%,12.01,4,28535680,711.8746021
86.5%,13.85,5,35684234,743.8405238
