FOM (M-particle-steps/sec/node),No. Ranks,No. Nodes,Wall Time (sec),No. Steps,No. Particles,Particles Per Cell [PPC],Length Scaling Factor [L],File
386.002061693491,1,1,811.426,43543,7123374,1,1.0,runs--ultima01--ats2/single-20240314_144501_131780/try-03/log.sparta
397.3070829966466,1,1,797.442,43543,7123723,1,1.0,runs--ultima01--ats2/single-20240314_161349_111702/try-03/log.sparta
408.098230552086,1,1,762.547,43543,7123327,1,1.0,runs--ultima01--ats2/single-20240314_162305_11409/try-04/log.sparta
417.379170779268,1,1,745.464,43543,7123566,1,1.0,runs--ultima01--ats2/single-20240314_180218_15762/try-02/log.sparta
417.5312241215514,1,1,745.986,43543,7123237,1,1.0,runs--ultima01--ats2/single-20240314_161349_111702/try-01/log.sparta
417.9446069571352,1,1,745.463,43543,7122260,1,1.0,runs--ultima01--ats2/single-20240314_144037_120041/try-00/log.sparta
420.2549178662886,1,1,741.398,43543,7122897,1,1.0,runs--ultima01--ats2/single-20240314_180950_117371/try-05/log.sparta
420.19894320064384,1,1,742.656,43543,7122899,1,1.0,runs--ultima01--ats2/single-20240314_180218_15762/try-00/log.sparta
423.6170495988484,1,1,737.716,43543,7123227,1,1.0,runs--ultima01--ats2/single-20240314_191839_118867/try-07/log.sparta
423.26368299903964,1,1,737.979,43543,7123481,1,1.0,runs--ultima01--ats2/single-20240314_180950_117371/try-00/log.sparta
425.2590616191678,1,1,737.222,43543,7123148,1,1.0,runs--ultima01--ats2/single-20240314_144501_131780/try-02/log.sparta
425.7072687891946,1,1,742.968,43543,7123027,1,1.0,runs--ultima01--ats2/single-20240314_162305_11409/try-06/log.sparta
429.86458935705605,1,1,733.973,43543,7124288,1,1.0,runs--ultima01--ats2/single-20240314_144501_131780/try-01/log.sparta
430.98953252015997,1,1,721.35,43543,7123164,1,1.0,runs--ultima01--ats2/single-20240314_161349_111702/try-05/log.sparta
431.5535110450435,1,1,720.2,43543,7124156,1,1.0,runs--ultima01--ats2/single-20240314_144037_120041/try-03/log.sparta
431.16712855452977,1,1,725.11,43543,7123558,1,1.0,runs--ultima01--ats2/memory-20240314_142832_18913/try-00/log.sparta
431.18422526166034,1,1,720.387,43543,7122589,1,1.0,runs--ultima01--ats2/single-20240314_191839_118867/try-01/log.sparta
431.75627023383123,1,1,721.445,43543,7123593,1,1.0,runs--ultima01--ats2/single-20240314_191839_118867/try-04/log.sparta
431.83075859876317,1,1,719.66,43543,7124200,1,1.0,runs--ultima01--ats2/single-20240314_191839_118867/try-03/log.sparta
432.974907898129,1,1,719.3,43543,7122568,1,1.0,runs--ultima01--ats2/single-20240314_191839_118867/try-06/log.sparta
432.4733950955085,1,1,719.352,43543,7124637,1,1.0,runs--ultima01--ats2/single-20240314_144037_120041/try-04/log.sparta
432.34640535925894,1,1,720.493,43543,7124849,1,1.0,runs--ultima01--ats2/single-20240314_161349_111702/try-02/log.sparta
432.46577641386415,1,1,720.216,43543,7121948,1,1.0,runs--ultima01--ats2/single-20240314_161349_111702/try-07/log.sparta
432.56021527882467,1,1,719.975,43543,7123459,1,1.0,runs--ultima01--ats2/single-20240314_161349_111702/try-04/log.sparta
433.0577544785423,1,1,720.411,43543,7123251,1,1.0,runs--ultima01--ats2/single-20240314_170258_117910/try-01/log.sparta
433.8276980732378,1,1,719.001,43543,7122738,1,1.0,runs--ultima01--ats2/single-20240314_144501_131780/try-04/log.sparta
433.74698469598843,1,1,718.877,43543,7122833,1,1.0,runs--ultima01--ats2/single-20240314_144501_131780/try-07/log.sparta
434.0542706933781,1,1,717.164,43543,7123810,1,1.0,runs--ultima01--ats2/single-20240314_180950_117371/try-04/log.sparta
434.55688948519145,1,1,716.264,43543,7122669,1,1.0,runs--ultima01--ats2/single-20240314_162305_11409/try-05/log.sparta
435.0882363687119,1,1,716.937,43543,7123028,1,1.0,runs--ultima01--ats2/single-20240314_180218_15762/try-05/log.sparta
435.3719114666527,1,1,721.368,43543,7123341,1,1.0,runs--ultima01--ats2/single-20240314_162305_11409/try-02/log.sparta
436.3754647693176,1,1,715.215,43543,7122770,1,1.0,runs--ultima01--ats2/single-20240314_162305_11409/try-01/log.sparta
436.6533025498044,1,1,716.304,43543,7123785,1,1.0,runs--ultima01--ats2/single-20240314_191839_118867/try-02/log.sparta
437.7099238844496,1,1,714.868,43543,7123281,1,1.0,runs--ultima01--ats2/single-20240314_161349_111702/try-00/log.sparta
438.3915677252148,1,1,713.278,43543,7123756,1,1.0,runs--ultima01--ats2/single-20240314_180218_15762/try-07/log.sparta
438.93486656961977,1,1,713.359,43543,7122929,1,1.0,runs--ultima01--ats2/single-20240314_144037_120041/try-01/log.sparta
439.4256029317729,1,1,712.829,43543,7122041,1,1.0,runs--ultima01--ats2/single-20240314_180218_15762/try-04/log.sparta
439.56546925706544,1,1,721.432,43543,7123243,1,1.0,runs--ultima01--ats2/single-20240314_144037_120041/try-06/log.sparta
441.34019180780047,1,1,710.431,43543,7123857,1,1.0,runs--ultima01--ats2/single-20240314_180218_15762/try-03/log.sparta
441.84296788107855,1,1,718.269,43543,7122856,1,1.0,runs--ultima01--ats2/single-20240314_180950_117371/try-03/log.sparta
442.75761312270504,1,1,709.164,43543,7123369,1,1.0,runs--ultima01--ats2/single-20240314_144037_120041/try-02/log.sparta
443.2822363162725,1,1,708.244,43543,7123030,1,1.0,runs--ultima01--ats2/single-20240314_161349_111702/try-06/log.sparta
443.6117612085399,1,1,705.717,43543,7123431,1,1.0,runs--ultima01--ats2/single-20240314_180950_117371/try-02/log.sparta
443.57389528418014,1,1,701.013,43543,7125042,1,1.0,runs--ultima01--ats2/single-20240314_170258_117910/try-07/log.sparta
443.57672526622673,1,1,699.938,43543,7124042,1,1.0,runs--ultima01--ats2/single-20240314_144501_131780/try-00/log.sparta
444.853119210086,1,1,699.259,43543,7124209,1,1.0,runs--ultima01--ats2/single-20240314_144501_131780/try-06/log.sparta
444.6705316882226,1,1,702.299,43543,7122023,1,1.0,runs--ultima01--ats2/single-20240314_191839_118867/try-05/log.sparta
444.64047738620906,1,1,697.536,43543,7123006,1,1.0,runs--ultima01--ats2/single-20240314_162305_11409/try-03/log.sparta
444.71277684107883,1,1,707.323,43543,7124031,1,1.0,runs--ultima01--ats2/single-20240314_191839_118867/try-00/log.sparta
445.9351580497595,1,1,705.386,43543,7123108,1,1.0,runs--ultima01--ats2/single-20240314_144037_120041/try-07/log.sparta
445.9556400888657,1,1,698.123,43543,7123844,1,1.0,runs--ultima01--ats2/single-20240314_170258_117910/try-04/log.sparta
446.5751447284046,1,1,696.286,43543,7122233,1,1.0,runs--ultima01--ats2/single-20240314_180950_117371/try-07/log.sparta
446.7396455201863,1,1,697.404,43543,7122384,1,1.0,runs--ultima01--ats2/single-20240314_170258_117910/try-06/log.sparta
446.41464035483455,1,1,696.706,43543,7123171,1,1.0,runs--ultima01--ats2/single-20240314_144501_131780/try-05/log.sparta
446.69087718414556,1,1,696.983,43543,7123998,1,1.0,runs--ultima01--ats2/single-20240314_180218_15762/try-01/log.sparta
446.73663919754233,1,1,695.927,43543,7123513,1,1.0,runs--ultima01--ats2/single-20240314_180218_15762/try-06/log.sparta
