"Key","Min","Mean","Max","Stdev","Range","Variability"
"015|008",283.07483747324204,287.5518419774409,289.6587655374491,1.3521772083810841,6.5839280642070435,0.02289649066036436
"055|008",291.85222738399807,298.6780519529668,302.4325209109804,3.02746362070867,10.580293526982302,0.035423739567741634
"035|008",295.6536480030147,298.6821006881171,300.99064056346026,1.3106280189213138,5.3369925604455375,0.01786847135516302
"015|032",1090.9128441499877,1100.9247719584384,1110.7039814344053,4.1022041538655785,19.791137284417573,0.017976829832987644
"035|032",1091.748178876289,1151.626486734314,1162.6017564675476,11.234998851634904,70.8535775912585,0.06152478985801997
"055|032",1122.4456932909989,1155.6451954491392,1175.0329152291463,16.880386519745493,52.58722193814742,0.04550464290011564
"015|056",1733.7788196679921,1784.8587465117591,1810.7962836320787,13.593284968137192,77.01746396408657,0.04315045328634871
"055|056",1753.8017363693323,1803.242627065981,1842.7445511736014,25.647010053507927,88.94281480426912,0.049323820028027036
"035|056",1794.1790808111812,1811.2533514560255,1829.662229518644,7.957968359448654,35.48314870746276,0.019590384017199286
"015|088",2166.983184163808,2211.5022258952345,2245.823078207499,18.117275513269295,78.83989404369095,0.035649927511050054
"055|112",2257.1723226859176,2621.955324680143,2693.6634263996425,67.28065133511772,436.4911037137249,0.16647541611601382
"055|088",2269.357451737939,2335.158328543611,2396.1178556835994,42.98144551473239,126.76040394566053,0.05428343011958351
"035|088",2289.688064943713,2329.4398821624345,2364.785497585954,16.62953682296719,75.09743264224107,0.03223840770362686
"015|112",2401.9873298051593,2449.42271781947,2497.6050217850807,26.024261243848766,95.61769197992135,0.039036827446853405
"035|112",2555.021343777798,2617.828933386908,2668.451836941169,23.589868943482653,113.43049316337101,0.0433299868133921
