FOM (M-particle-steps/sec/node),No. Ranks,No. Nodes,Wall Time (sec),No. Steps,No. Particles,Particles Per Cell [PPC],Length Scaling Factor [L],File
284.8711242546839,8,1,667.377,1779,107142754,15,1.0,runs--ultima01/single-20240314_152106_909283/try-02/log.sparta
284.65097745516294,8,1,666.988,1779,107142754,15,1.0,runs--ultima01/single-20240314_135132_909223/try-03/log.sparta
284.88091944409217,8,1,667.318,1779,107142754,15,1.0,runs--ultima01/single-20240314_152106_909283/try-07/log.sparta
285.0420768860186,8,1,667.165,1779,107142754,15,1.0,runs--ultima01/single-20240314_152106_909283/try-06/log.sparta
285.2996232117372,8,1,666.382,1779,107142754,15,1.0,runs--ultima01/single-20240314_135135_909238/try-04/log.sparta
285.05685599892877,8,1,667.147,1779,107142754,15,1.0,runs--ultima01/single-20240314_152106_909283/try-00/log.sparta
285.7440725140034,8,1,665.625,1779,107142754,15,1.0,runs--ultima01/single-20240314_135135_909238/try-01/log.sparta
285.7803519665393,8,1,665.206,1779,107142754,15,1.0,runs--ultima01/single-20240314_135132_909223/try-05/log.sparta
285.8856014193883,8,1,665.18,1779,107142754,15,1.0,runs--ultima01/single-20240314_165049_909328/try-06/log.sparta
285.9425690113304,8,1,665.169,1779,107142754,15,1.0,runs--ultima01/single-20240314_135138_909253/try-07/log.sparta
285.92340803094913,8,1,665.092,1779,107142754,15,1.0,runs--ultima01/single-20240314_165049_909328/try-02/log.sparta
286.4074787110257,8,1,662.452,1779,107142754,15,1.0,runs--ultima01/single-20240314_165049_909328/try-07/log.sparta
286.7035440093419,8,1,663.087,1779,107142754,15,1.0,runs--ultima01/single-20240314_164805_909313/try-05/log.sparta
286.68866661040875,8,1,663.328,1779,107142754,15,1.0,runs--ultima01/single-20240314_152020_909268/try-00/log.sparta
287.7837843731931,8,1,661.179,1779,107142754,15,1.0,runs--ultima01/single-20240314_152106_909283/try-03/log.sparta
287.8368100092075,8,1,661.012,1779,107142754,15,1.0,runs--ultima01/single-20240314_152106_909283/try-01/log.sparta
287.9935666999672,8,1,660.505,1779,107142754,15,1.0,runs--ultima01/single-20240314_135135_909238/try-03/log.sparta
287.67684930212437,8,1,662.982,1779,107142754,15,1.0,runs--ultima01/single-20240314_135138_909253/try-04/log.sparta
287.68442117360064,8,1,662.295,1779,107142754,15,1.0,runs--ultima01/single-20240314_152106_909283/try-04/log.sparta
287.94190614645936,8,1,662.567,1779,107142754,15,1.0,runs--ultima01/single-20240314_135138_909253/try-05/log.sparta
288.0214878096286,8,1,660.948,1779,107142754,15,1.0,runs--ultima01/single-20240314_152106_909283/try-05/log.sparta
288.258789958894,8,1,660.256,1779,107142754,15,1.0,runs--ultima01/single-20240314_135135_909238/try-06/log.sparta
288.0471332955828,8,1,662.065,1779,107142754,15,1.0,runs--ultima01/single-20240314_152020_909268/try-07/log.sparta
288.644871550318,8,1,659.074,1779,107142754,15,1.0,runs--ultima01/single-20240314_135132_909223/try-01/log.sparta
288.01569546320576,8,1,660.623,1779,107142754,15,1.0,runs--ultima01/single-20240314_135135_909238/try-07/log.sparta
288.2068897670355,8,1,660.439,1779,107142754,15,1.0,runs--ultima01/single-20240314_165049_909328/try-03/log.sparta
288.3646766616031,8,1,660.164,1779,107142754,15,1.0,runs--ultima01/single-20240314_152020_909268/try-02/log.sparta
288.4454119159369,8,1,659.806,1779,107142754,15,1.0,runs--ultima01/single-20240314_152020_909268/try-01/log.sparta
288.4708392486368,8,1,659.532,1779,107142754,15,1.0,runs--ultima01/single-20240314_135135_909238/try-00/log.sparta
288.5996642141511,8,1,659.222,1779,107142754,15,1.0,runs--ultima01/single-20240314_135132_909223/try-00/log.sparta
288.7464226898637,8,1,658.666,1779,107142754,15,1.0,runs--ultima01/single-20240314_165049_909328/try-04/log.sparta
288.9118586453685,8,1,658.733,1779,107142754,15,1.0,runs--ultima01/single-20240314_135132_909223/try-07/log.sparta
288.9570635133683,8,1,658.411,1779,107142754,15,1.0,runs--ultima01/single-20240314_165049_909328/try-00/log.sparta
288.9725727951563,8,1,658.8,1779,107142754,15,1.0,runs--ultima01/single-20240314_152453_909298/try-04/log.sparta
288.9798668538115,8,1,660.132,1779,107142754,15,1.0,runs--ultima01/single-20240314_164805_909313/try-03/log.sparta
288.9869609214954,8,1,660.117,1779,107142754,15,1.0,runs--ultima01/single-20240314_164805_909313/try-02/log.sparta
288.11118328857486,8,1,659.798,1779,107142754,15,1.0,runs--ultima01/single-20240314_135135_909238/try-05/log.sparta
288.29704092479056,8,1,660.416,1779,107142754,15,1.0,runs--ultima01/single-20240314_135138_909253/try-06/log.sparta
288.31902524234937,8,1,661.675,1779,107142754,15,1.0,runs--ultima01/single-20240314_152020_909268/try-06/log.sparta
288.40223939023883,8,1,659.511,1779,107142754,15,1.0,runs--ultima01/single-20240314_135135_909238/try-02/log.sparta
288.49099184950626,8,1,659.118,1779,107142754,15,1.0,runs--ultima01/single-20240314_165049_909328/try-01/log.sparta
288.49351300820547,8,1,660.375,1779,107142754,15,1.0,runs--ultima01/single-20240314_135132_909223/try-04/log.sparta
288.53138280515725,8,1,659.314,1779,107142754,15,1.0,runs--ultima01/single-20240314_165049_909328/try-05/log.sparta
288.55782883536847,8,1,660.124,1779,107142754,15,1.0,runs--ultima01/single-20240314_135138_909253/try-00/log.sparta
288.72328367603666,8,1,659.908,1779,107142754,15,1.0,runs--ultima01/single-20240314_135138_909253/try-01/log.sparta
288.73336440126127,8,1,659.806,1779,107142754,15,1.0,runs--ultima01/single-20240314_135138_909253/try-03/log.sparta
288.75346561352137,8,1,658.929,1779,107142754,15,1.0,runs--ultima01/single-20240314_135132_909223/try-02/log.sparta
288.89056284755947,8,1,658.773,1779,107142754,15,1.0,runs--ultima01/single-20240314_135132_909223/try-06/log.sparta
288.91326382339025,8,1,658.869,1779,107142754,15,1.0,runs--ultima01/single-20240314_152453_909298/try-01/log.sparta
288.94266392830514,8,1,659.385,1779,107142754,15,1.0,runs--ultima01/single-20240314_135138_909253/try-02/log.sparta
289.02167991245193,8,1,658.761,1779,107142754,15,1.0,runs--ultima01/single-20240314_152453_909298/try-07/log.sparta
289.3368772152655,8,1,659.186,1779,107142754,15,1.0,runs--ultima01/single-20240314_152453_909298/try-02/log.sparta
289.4431500631868,8,1,659.081,1779,107142754,15,1.0,runs--ultima01/single-20240314_152453_909298/try-00/log.sparta
289.6293310879173,8,1,657.786,1779,107142754,15,1.0,runs--ultima01/single-20240314_164805_909313/try-07/log.sparta
289.06872763767484,8,1,658.741,1779,107142754,15,1.0,runs--ultima01/single-20240314_152020_909268/try-03/log.sparta
289.08505519164703,8,1,660.089,1779,107142754,15,1.0,runs--ultima01/single-20240314_164805_909313/try-01/log.sparta
289.9819531426995,8,1,679.79,500,392869555,55,1.0,runs--ultima01/single-20240314_152228_909288/try-03/log.sparta
289.13061246712647,8,1,658.59,1779,107142754,15,1.0,runs--ultima01/single-20240314_152020_909268/try-04/log.sparta
289.21500865840153,8,1,658.667,1779,107142754,15,1.0,runs--ultima01/single-20240314_152020_909268/try-05/log.sparta
289.22698725301575,8,1,659.427,1779,107142754,15,1.0,runs--ultima01/single-20240314_152453_909298/try-05/log.sparta
289.55435983687124,8,1,658.034,1779,107142754,15,1.0,runs--ultima01/single-20240314_164805_909313/try-04/log.sparta
289.79559423263635,8,1,668.355,500,392869555,55,1.0,runs--ultima01/single-20240314_152228_909288/try-04/log.sparta
289.94793671645147,8,1,657.237,1779,107142754,15,1.0,runs--ultima01/single-20240314_164805_909313/try-06/log.sparta
290.00163299568993,8,1,676.512,500,392869555,55,1.0,runs--ultima01/single-20240314_135135_909243/try-05/log.sparta
290.0168143029346,8,1,657.164,1779,107142754,15,1.0,runs--ultima01/single-20240314_164805_909313/try-00/log.sparta
290.5150620757795,8,1,675.437,500,392869555,55,1.0,runs--ultima01/single-20240314_135135_909243/try-00/log.sparta
