FOM (M-particle-steps/sec/node),No. Ranks,No. Nodes,Wall Time (sec),No. Steps,No. Particles,Particles Per Cell [PPC],Length Scaling Factor [L],File
283.07483747324204,8,1,671.292,1779,107142754,15,1.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3/single-20240321_124322_748196/try-04/log.sparta
284.92781306515116,8,1,666.721,1779,107142754,15,1.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3/single-20240321_124322_748196/try-00/log.sparta
284.99192129164845,8,1,667.023,1779,107142754,15,1.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3/single-20240321_124323_748211/try-06/log.sparta
285.315331943277,8,1,666.719,1779,107142754,15,1.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3/single-20240321_124323_748211/try-01/log.sparta
285.3181830238823,8,1,666.54,1779,107142754,15,1.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3/single-20240321_124319_748166/try-04/log.sparta
285.6095725550864,8,1,665.977,1779,107142754,15,1.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3/single-20240321_124342_748256/try-00/log.sparta
285.6751281251652,8,1,665.698,1779,107142754,15,1.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3/single-20240321_124322_748196/try-05/log.sparta
285.8473278450063,8,1,665.415,1779,107142754,15,1.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3/single-20240321_124313_748151/try-03/log.sparta
285.8532505639245,8,1,665.193,1779,107142754,15,1.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3/single-20240321_124322_748196/try-01/log.sparta
285.9093257320019,8,1,664.859,1779,107142754,15,1.0,/Users/amagela/Work/git/lanl-benchmarks-ultima01/doc/sphinx/08_sparta/runs--ultima02--ats3/single-20240321_124322_748196/try-03/log.sparta
