PEs / NUMA Domain,PEs / NUMA Domain (%),Inputfile Elements,Cells,MaxRSS (GiB),Actual FOM (k-cell-steps/sec),Ideal FOM (k-cell-steps/sec)
1,0.071,60,2592000,57.02,1536.37,1536.37
4,0.286,60,2592000,63.76,4717.88,6145.48
7,0.500,60,2592000,69.93,7797.07,10754.59
11,0.786,60,2592000,78.65,8605.81,16900.07
14,1.000,60,2592000,83.95,9190.05,21509.18
