No. Cores,Actual,Ideal,Memory (GiB)
1,0.184367,0.184367,14.13
2,0.360493,0.368734,14.96
4,0.659742,0.737468,15.24
8,1.249861,1.474936,15.89
16,2.301861,2.949873,17.48
32,3.269871,5.899745,20.19
48,3.138137,8.849618,23.28
