No. Cores,Actual,Ideal,Memory (GiB)
1,0.726973,0.726973,3.67
2,1.322235,1.453946,3.90
4,2.429986,2.907891,4.26
8,3.839851,5.815782,4.98
16,5.324459,11.631565,6.34
32,6.908711,23.263130,9.00
48,6.963499,34.894695,11.69
