Cells,FOM (k-cell-steps/sec),Ranks,Ranks/Domain,Steps,Time (sec),MaxRSS (GiB),Try,Size,File
96000,741.155,1,0,6458,836.489,2.645562171936035,0,20,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240316_200452_memoryof20at6458r13810/try-00/output-mpirun-20240316_200452_memoryof20at6458r13810-0.log
96000,838.492,1,0,6458,739.384,,0,20,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240318_020517_single20at6458r15301/try-00/output-mpirun-20240318_020517_single20at6458r15301-0.log
96000,841.674,1,0,6458,736.589,,0,20,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240317_183738_single20at6458r23178/try-00/output-mpirun-20240317_183738_single20at6458r23178-0.log
96000,866.184,1,0,6458,715.746,,0,20,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240317_222158_single20at6458r2381/try-00/output-mpirun-20240317_222158_single20at6458r2381-0.log
96000,873.577,1,0,6458,709.689,,0,20,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240316_152320_single20at6458r17320/try-00/output-mpirun-20240316_152320_memoryof20at6458r17320-0.log
96000,879.408,1,0,6458,704.983,,0,20,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240317_071958_single20at6458r29318/try-00/output-mpirun-20240317_071958_single20at6458r29318-0.log
96000,880.882,1,0,6458,703.804,,0,20,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240317_033602_single20at6458r14135/try-00/output-mpirun-20240317_033602_single20at6458r14135-0.log
96000,881.64,1,0,6458,703.198,,0,20,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240317_111106_single20at6458r22390/try-00/output-mpirun-20240317_111106_single20at6458r22390-0.log
96000,886.839,1,0,6458,699.076,,0,20,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240317_145434_single20at6458r29368/try-00/output-mpirun-20240317_145434_single20at6458r29368-0.log
96000,887.491,1,0,6458,698.563,,0,20,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240316_235224_single20at6458r7050/try-00/output-mpirun-20240316_235224_single20at6458r7050-0.log
187500,983.214,1,0,4454,849.382,4.192849349975586,0,25,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240316_193556_memoryof25at4454r121/try-00/output-mpirun-20240316_193556_memoryof25at4454r121-0.log
187500,1149.87,1,0,4454,726.275,,0,25,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240317_143055_single25at4454r18535/try-00/output-mpirun-20240317_143055_single25at4454r18535-0.log
187500,1155.76,1,0,4454,722.579,,0,25,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240317_215821_single25at4454r815/try-00/output-mpirun-20240317_215821_single25at4454r815-0.log
187500,1162.99,1,0,4454,718.084,,0,25,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240317_065625_single25at4454r10290/try-00/output-mpirun-20240317_065625_single25at4454r10290-0.log
187500,1164.81,1,0,4454,716.962,,0,25,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240318_014143_single25at4454r30967/try-00/output-mpirun-20240318_014143_single25at4454r30967-0.log
187500,1165.22,1,0,4454,716.71,,0,25,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240317_104732_single25at4454r16187/try-00/output-mpirun-20240317_104732_single25at4454r16187-0.log
187500,1167.23,1,0,4454,715.475,,0,25,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240316_232856_single25at4454r30810/try-00/output-mpirun-20240316_232856_single25at4454r30810-0.log
187500,1173.99,1,0,4454,711.356,,0,25,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240317_181414_single25at4454r16415/try-00/output-mpirun-20240317_181414_single25at4454r16415-0.log
187500,1174.01,1,0,4454,711.344,,0,25,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240316_145955_single25at4454r20271/try-00/output-mpirun-20240316_145955_memoryof25at4454r20271-0.log
187500,1175.83,1,0,4454,710.243,,0,25,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240317_031238_single25at4454r25584/try-00/output-mpirun-20240317_031238_single25at4454r25584-0.log
357492,2168.34,1,0,5389,888.481,6.968747615814209,0,31,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240316_184727_memoryof31at5389r27388/try-00/output-mpirun-20240316_184727_memoryof31at5389r27388-0.log
357492,2682.1,1,0,5389,718.29,,0,31,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240317_023341_single31at5389r14251/try-00/output-mpirun-20240317_023341_single31at5389r14251-0.log
357492,2683.5,1,0,5389,717.915,,0,31,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240317_100854_single31at5389r4574/try-00/output-mpirun-20240317_100854_single31at5389r4574-0.log
357492,2688.03,1,0,5389,716.706,,0,31,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240318_010309_single31at5389r7256/try-00/output-mpirun-20240318_010309_single31at5389r7256-0.log
357492,2689.19,1,0,5389,716.395,,0,31,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240317_135218_single31at5389r19423/try-00/output-mpirun-20240317_135218_single31at5389r19423-0.log
357492,2689.94,1,0,5389,716.197,,0,31,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240316_180513_single31at5389r7195/try-00/output-mpirun-20240316_180513_single31at5389r7195-0.log
357492,2691.42,1,0,5389,715.803,,0,31,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240317_211947_single31at5389r9551/try-00/output-mpirun-20240317_211947_single31at5389r9551-0.log
357492,2691.56,1,0,5389,715.765,,0,31,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240316_225019_single31at5389r27893/try-00/output-mpirun-20240316_225019_single31at5389r27893-0.log
357492,2694.42,1,0,5389,715.006,,0,31,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240317_061748_single31at5389r28487/try-00/output-mpirun-20240317_061748_single31at5389r28487-0.log
357492,2695.23,1,0,5389,714.79,,0,31,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240317_173537_single31at5389r24648/try-00/output-mpirun-20240317_173537_single31at5389r24648-0.log
357492,2695.26,1,0,5389,714.783,,0,31,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240316_142113_single31at5389r30470/try-00/output-mpirun-20240316_142113_memoryof31at5389r30470-0.log
514500,2142.25,1,0,4749,1140.56,,0,35,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240317_091949_single35at4749r19816/try-00/output-mpirun-20240317_091949_single35at4749r19816-0.log
514500,2831.07,1,0,4749,863.053,9.631579685211182,0,35,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240316_132742_memoryof35at4749r20225/try-00/output-mpirun-20240316_132742_memoryof35at4749r20225-0.log
514500,3389.04,1,0,4749,720.959,,0,35,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240316_172310_single35at4749r15254/try-00/output-mpirun-20240316_172310_single35at4749r15254-0.log
514500,3389.78,1,0,4749,720.801,,0,35,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240316_220834_single35at4749r30634/try-00/output-mpirun-20240316_220834_single35at4749r30634-0.log
514500,3390.5,1,0,4749,720.649,,0,35,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240318_002109_single35at4749r25273/try-00/output-mpirun-20240318_002109_single35at4749r25273-0.log
514500,3391.13,1,0,4749,720.515,,0,35,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240317_165337_single35at4749r13103/try-00/output-mpirun-20240317_165337_single35at4749r13103-0.log
514500,3391.41,1,0,4749,720.456,,0,35,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240317_203801_single35at4749r24076/try-00/output-mpirun-20240317_203801_single35at4749r24076-0.log
514500,3393.31,1,0,4749,720.053,,0,35,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240317_053538_single35at4749r9502/try-00/output-mpirun-20240317_053538_single35at4749r9502-0.log
514500,3393.99,1,0,4749,719.909,,0,35,/gpfs/amagela/Work/git/lanl-benchmarks/doc/sphinx/07_miniem/runs--ultima01--ascicgpu030/run-20240317_015143_single35at4749r1991/try-00/output-mpirun-20240317_015143_single35at4749r1991-0.log
