"Key","Min","Mean","Max","Stdev","Range","Variability"
"040|14",153.119,6052.558318181818,6311.29,741.357589901478,6158.171,1.0174492629837077
"040|07",659.92,6093.1305172413795,6275.48,727.2028282432564,5615.5599999999995,0.9216214857223185
"040|01",1640.93,1656.0104615384616,1683.32,7.019023354153604,42.38999999999987,0.025597664377445328
"040|04",5092.86,5189.303076923077,5307.57,45.225480543434934,214.71000000000004,0.041375498177167416
"040|11",6333.25,6439.564,6517.25,44.55016599295675,184.0,0.028573363041348762
"060|01",184.455,1497.8349137931034,1536.37,175.66130815545915,1351.915,0.9025794415329943
"060|04",4628.38,4675.208153846153,4717.88,22.191295935308965,89.5,0.019143532663111702
"060|07",7580.97,7673.570307692307,7797.07,50.74319221485623,216.09999999999945,0.02816159770939634
"060|11",8372.58,8475.247076923077,8605.81,45.14647109420198,233.22999999999956,0.027518961734467013
"060|14",8922.96,9032.294923076923,9190.05,65.05491368170902,267.09000000000015,0.02957055790080577
"070|01",1509.78,1530.4216923076922,1543.12,6.469242510050624,33.33999999999992,0.02178484542369966
"070|14",4115.79,6149.412,8423.6,1527.3356016945818,4307.81,0.7005238874871289
"070|04",4603.75,4677.533538461538,4748.66,29.465356640827416,144.90999999999985,0.03098000234706204
"070|11",6248.32,8031.6884615384615,8987.42,973.8701674957608,2739.1000000000004,0.34103663421667735
"070|07",6705.33,6834.55276923077,6947.34,60.509359232366144,242.01000000000022,0.03540977854315967
