PEs / NUMA Domain,PEs / NUMA Domain (%),Inputfile Elements,Cells,MaxRSS (GiB),Actual FOM (k-cell-steps/sec),Ideal FOM (k-cell-steps/sec)
1,0.071,40,768000,18.10,1683.32,1683.32
4,0.286,40,768000,23.62,5307.57,6733.28
7,0.500,40,768000,29.49,6275.48,11783.24
11,0.786,40,768000,37.49,6517.25,18516.52
14,1.000,40,768000,43.25,6311.29,23566.48
