Cells,FOM (k-cell-steps/sec),Ranks,Ranks/Domain,Steps,Time (sec),MaxRSS (GiB),Try,Size,File
3375,153.119,112,14,6,0.13225,,0,40,runs--ultima01/run-20240303_204910_862131/try-00/output-srun-20240303_204910_862131-0.log
768000,659.92,56,7,5804,6754.56,,0,40,runs--ultima01/run-20240303_203325_862113/try-00/output-srun-20240303_203325_862113-0.log
768000,1640.93,8,1,1563,731.525,,7,40,runs--ultima01/run-20240303_185136_862100/try-07/output-srun-20240303_185136_862100-7.log
768000,1642.94,8,1,1563,730.634,,3,40,runs--ultima01/run-20240303_184127_862085/try-03/output-srun-20240303_184127_862085-3.log
768000,1643.77,8,1,1563,730.261,,2,40,runs--ultima01/run-20240303_163312_862055/try-02/output-srun-20240303_163312_862055-2.log
768000,1644.21,8,1,1563,730.069,,5,40,runs--ultima01/run-20240303_203401_862115/try-05/output-srun-20240303_203401_862115-5.log
768000,1644.49,8,1,1563,729.941,,1,40,runs--ultima01/run-20240303_163312_862055/try-01/output-srun-20240303_163312_862055-1.log
768000,1646.49,8,1,1563,729.057,,1,40,runs--ultima01/run-20240303_185136_862100/try-01/output-srun-20240303_185136_862100-1.log
768000,1647.41,8,1,1563,728.647,,5,40,runs--ultima01/run-20240303_183734_862070/try-05/output-srun-20240303_183734_862070-5.log
768000,1647.87,8,1,1563,728.447,,5,40,runs--ultima01/run-20240303_163306_862025/try-05/output-srun-20240303_163306_862025-5.log
768000,1648.03,8,1,1563,728.375,,2,40,runs--ultima01/run-20240303_183734_862070/try-02/output-srun-20240303_183734_862070-2.log
768000,1648.55,8,1,1563,728.146,,4,40,runs--ultima01/run-20240303_203401_862115/try-04/output-srun-20240303_203401_862115-4.log
768000,1648.83,8,1,1563,728.024,,6,40,runs--ultima01/run-20240303_185136_862100/try-06/output-srun-20240303_185136_862100-6.log
768000,1649.24,8,1,1563,727.839,,3,40,runs--ultima01/run-20240303_203401_862115/try-03/output-srun-20240303_203401_862115-3.log
768000,1649.94,8,1,1563,727.53,,6,40,runs--ultima01/run-20240303_203401_862115/try-06/output-srun-20240303_203401_862115-6.log
768000,1650.06,8,1,1563,727.48,,1,40,runs--ultima01/run-20240303_204849_862130/try-01/output-srun-20240303_204849_862130-1.log
768000,1650.34,8,1,1563,727.356,,5,40,runs--ultima01/run-20240303_204849_862130/try-05/output-srun-20240303_204849_862130-5.log
768000,1650.53,8,1,1563,727.272,,1,40,runs--ultima01/run-20240303_184127_862085/try-01/output-srun-20240303_184127_862085-1.log
768000,1651.88,8,1,1563,726.676,,6,40,runs--ultima01/run-20240303_184127_862085/try-06/output-srun-20240303_184127_862085-6.log
768000,1652.15,8,1,1563,726.558,,4,40,runs--ultima01/run-20240303_204849_862130/try-04/output-srun-20240303_204849_862130-4.log
768000,1652.52,8,1,1563,726.395,,6,40,runs--ultima01/run-20240303_163306_862025/try-06/output-srun-20240303_163306_862025-6.log
768000,1652.57,8,1,1563,726.376,,5,40,runs--ultima01/run-20240303_163312_862055/try-05/output-srun-20240303_163312_862055-5.log
768000,1653.46,8,1,1563,725.984,,2,40,runs--ultima01/run-20240303_163309_862040/try-02/output-srun-20240303_163309_862040-2.log
768000,1653.47,8,1,1563,725.98,,4,40,runs--ultima01/run-20240303_163312_862055/try-04/output-srun-20240303_163312_862055-4.log
768000,1653.88,8,1,1563,725.799,,4,40,runs--ultima01/run-20240303_185136_862100/try-04/output-srun-20240303_185136_862100-4.log
768000,1653.94,8,1,1563,725.771,,7,40,runs--ultima01/run-20240303_163306_862025/try-07/output-srun-20240303_163306_862025-7.log
768000,1654.78,8,1,1563,725.403,,3,40,runs--ultima01/run-20240303_183734_862070/try-03/output-srun-20240303_183734_862070-3.log
768000,1654.89,8,1,1563,725.354,,3,40,runs--ultima01/run-20240303_163309_862040/try-03/output-srun-20240303_163309_862040-3.log
768000,1654.89,8,1,1563,725.355,,0,40,runs--ultima01/run-20240303_204849_862130/try-00/output-srun-20240303_204849_862130-0.log
768000,1654.89,8,1,1563,725.358,,6,40,runs--ultima01/run-20240303_163312_862055/try-06/output-srun-20240303_163312_862055-6.log
768000,1654.93,8,1,1563,725.34,,0,40,runs--ultima01/run-20240303_183734_862070/try-00/output-srun-20240303_183734_862070-0.log
768000,1655.1,8,1,1563,725.263,,0,40,runs--ultima01/run-20240303_203401_862115/try-00/output-srun-20240303_203401_862115-0.log
768000,1655.72,8,1,1563,724.99,,5,40,runs--ultima01/run-20240303_185136_862100/try-05/output-srun-20240303_185136_862100-5.log
768000,1656.09,8,1,1563,724.83,,4,40,runs--ultima01/run-20240303_184127_862085/try-04/output-srun-20240303_184127_862085-4.log
768000,1656.14,8,1,1563,724.81,,3,40,runs--ultima01/run-20240303_163306_862025/try-03/output-srun-20240303_163306_862025-3.log
768000,1656.26,8,1,1563,724.758,,1,40,runs--ultima01/run-20240303_163309_862040/try-01/output-srun-20240303_163309_862040-1.log
768000,1656.96,8,1,1563,724.449,,4,40,runs--ultima01/run-20240303_163306_862025/try-04/output-srun-20240303_163306_862025-4.log
768000,1657.43,8,1,1563,724.244,,3,40,runs--ultima01/run-20240303_204849_862130/try-03/output-srun-20240303_204849_862130-3.log
768000,1658.07,8,1,1563,723.966,,3,40,runs--ultima01/run-20240303_163312_862055/try-03/output-srun-20240303_163312_862055-3.log
768000,1658.29,8,1,1563,723.87,,7,40,runs--ultima01/run-20240303_163312_862055/try-07/output-srun-20240303_163312_862055-7.log
768000,1658.39,8,1,1563,723.823,,7,40,runs--ultima01/run-20240303_184127_862085/try-07/output-srun-20240303_184127_862085-7.log
768000,1658.66,8,1,1563,723.706,,5,40,runs--ultima01/run-20240303_184127_862085/try-05/output-srun-20240303_184127_862085-5.log
768000,1658.66,8,1,1563,723.709,,2,40,runs--ultima01/run-20240303_185136_862100/try-02/output-srun-20240303_185136_862100-2.log
768000,1658.84,8,1,1563,723.629,,0,40,runs--ultima01/run-20240303_163309_862040/try-00/output-srun-20240303_163309_862040-0.log
768000,1658.92,8,1,1563,723.592,,6,40,runs--ultima01/run-20240303_163309_862040/try-06/output-srun-20240303_163309_862040-6.log
768000,1658.98,8,1,1563,723.568,,7,40,runs--ultima01/run-20240303_203401_862115/try-07/output-srun-20240303_203401_862115-7.log
768000,1659.34,8,1,1563,723.41,,4,40,runs--ultima01/run-20240303_163309_862040/try-04/output-srun-20240303_163309_862040-4.log
768000,1659.36,8,1,1563,723.403,,5,40,runs--ultima01/run-20240303_163309_862040/try-05/output-srun-20240303_163309_862040-5.log
768000,1659.53,8,1,1563,723.328,,2,40,runs--ultima01/run-20240303_163306_862025/try-02/output-srun-20240303_163306_862025-2.log
768000,1659.95,8,1,1563,723.146,,0,40,runs--ultima01/run-20240303_163312_862055/try-00/output-srun-20240303_163312_862055-0.log
768000,1660.32,8,1,1563,722.984,,1,40,runs--ultima01/run-20240303_163306_862025/try-01/output-srun-20240303_163306_862025-1.log
768000,1660.47,8,1,1563,722.919,,4,40,runs--ultima01/run-20240303_183734_862070/try-04/output-srun-20240303_183734_862070-4.log
768000,1660.49,8,1,1563,722.91,,1,40,runs--ultima01/run-20240303_203401_862115/try-01/output-srun-20240303_203401_862115-1.log
768000,1660.56,8,1,1563,722.88,,2,40,runs--ultima01/run-20240303_204849_862130/try-02/output-srun-20240303_204849_862130-2.log
768000,1660.79,8,1,1563,722.778,,7,40,runs--ultima01/run-20240303_163309_862040/try-07/output-srun-20240303_163309_862040-7.log
768000,1662.7,8,1,1563,721.948,,6,40,runs--ultima01/run-20240303_204849_862130/try-06/output-srun-20240303_204849_862130-6.log
768000,1662.21,8,1,1563,722.16,,1,40,runs--ultima01/run-20240303_183734_862070/try-01/output-srun-20240303_183734_862070-1.log
768000,1662.29,8,1,1563,722.125,,2,40,runs--ultima01/run-20240303_203401_862115/try-02/output-srun-20240303_203401_862115-2.log
768000,1662.59,8,1,1563,721.997,,2,40,runs--ultima01/run-20240303_184127_862085/try-02/output-srun-20240303_184127_862085-2.log
768000,1662.61,8,1,1563,721.989,,6,40,runs--ultima01/run-20240303_183734_862070/try-06/output-srun-20240303_183734_862070-6.log
768000,1663.07,8,1,1563,721.786,,7,40,runs--ultima01/run-20240303_204849_862130/try-07/output-srun-20240303_204849_862130-7.log
768000,1663.8,8,1,1563,721.473,,0,40,runs--ultima01/run-20240303_185136_862100/try-00/output-srun-20240303_185136_862100-0.log
768000,1663.92,8,1,1563,721.418,,7,40,runs--ultima01/run-20240303_183734_862070/try-07/output-srun-20240303_183734_862070-7.log
768000,1665.11,8,1,1563,720.904,,0,40,runs--ultima01/run-20240303_163306_862025/try-00/output-srun-20240303_163306_862025-0.log
768000,1665.13,8,1,1563,720.893,,0,40,runs--ultima01/run-20240303_184127_862085/try-00/output-srun-20240303_184127_862085-0.log
768000,1668.73,8,1,1563,719.34,,3,40,runs--ultima01/run-20240303_185136_862100/try-03/output-srun-20240303_185136_862100-3.log
768000,1683.32,8,1,1563,713.107,,0,40,runs--ultima01/run-20240303_210131_862148/try-00/output-srun-20240303_210131_862148-0.log
768000,5092.86,32,4,4775,720.067,,5,40,runs--ultima01/run-20240303_163306_862024/try-05/output-srun-20240303_163306_862024-5.log
768000,5096.59,32,4,4775,719.539,,4,40,runs--ultima01/run-20240303_163306_862024/try-04/output-srun-20240303_163306_862024-4.log
768000,5109.36,32,4,4775,717.741,,6,40,runs--ultima01/run-20240303_184122_862084/try-06/output-srun-20240303_184122_862084-6.log
768000,5118.34,32,4,4775,716.482,,0,40,runs--ultima01/run-20240303_204754_862129/try-00/output-srun-20240303_204754_862129-0.log
768000,5119.05,32,4,4775,716.383,,1,40,runs--ultima01/run-20240303_163306_862024/try-01/output-srun-20240303_163306_862024-1.log
768000,5121.43,32,4,4775,716.049,,3,40,runs--ultima01/run-20240303_184122_862084/try-03/output-srun-20240303_184122_862084-3.log
768000,5124.53,32,4,4775,715.617,,0,40,runs--ultima01/run-20240303_163306_862024/try-00/output-srun-20240303_163306_862024-0.log
768000,5127.58,32,4,4775,715.191,,5,40,runs--ultima01/run-20240303_204754_862129/try-05/output-srun-20240303_204754_862129-5.log
768000,5129.56,32,4,4775,714.915,,7,40,runs--ultima01/run-20240303_204754_862129/try-07/output-srun-20240303_204754_862129-7.log
