PEs / NUMA Domain,PEs / NUMA Domain (%),Inputfile Elements,Cells,MaxRSS (GiB),Actual FOM (k-cell-steps/sec),Ideal FOM (k-cell-steps/sec)
1,0.071,70,4116000,89.77,1543.12,1543.12
4,0.286,70,4116000,96.05,4748.66,6172.48
7,0.500,70,4116000,102.91,6947.34,10801.84
11,0.786,70,4116000,111.37,8987.42,16974.32
14,1.000,70,4116000,117.42,8423.60,21603.68
