No. Cores,Actual,Ideal,Memory (GiB)
1,0.092176,0.092176,27.36
2,0.173295,0.184352,28.42
4,0.345268,0.368703,29.44
8,0.622429,0.737406,29.90
16,1.072192,1.474812,31.52
32,1.648567,2.949625,35.14
48,1.649011,4.424437,37.82
