No. Cores,Actual,Ideal,Memory (GiB)
1,0.038064439,0.038064439,62.6
2,0.075867354,0.076128877,64.6
4,0.148700148,0.152257754,65.5
8,0.274408649,0.304515508,67.7
16,0.472957847,0.609031016,69.4
32,0.665584968,1.218062033,72.2
48,0.684972167,1.827093049,75.4
