Nodes,aggregate-FOM,per-node-FOM,per-node-Ideal
4096,3.65E+09,8.91E+05,7.10E+06
2048,3.58E+09,1.75E+06,7.10E+06
1024,2.36E+09,2.30E+06,7.10E+06
512,1.44E+09,2.81E+06,7.10E+06
256,8.32E+08,3.25E+06,7.10E+06
128,4.67E+08,3.65E+06,7.10E+06
64,2.67E+08,4.17E+06,7.10E+06
32,1.64E+08,5.13E+06,7.10E+06
16,7.78E+07,4.86E+06,7.10E+06
8,4.88E+07,6.10E+06,7.10E+06
4,2.48E+07,6.20E+06,7.10E+06
2,1.42E+07,7.10E+06,7.10E+06
