No. Cores,Actual,Ideal
1,1.1144E+08,1.1144E+08
2,1.9767E+08,2.2289E+08
4,4.0378E+08,3.9533E+08
8,8.3823E+08,8.0755E+08
16,1.5375E+09,1.6765E+09
32,2.4677E+09,3.0749E+09
64,3.2685E+09,4.9354E+09
