No. Cores,Actual,Ideal
1,1.1023E+08,1.1023E+08
2,1.9868E+08,2.2046E+08
4,3.9730E+08,3.9735E+08
8,8.2027E+08,7.9461E+08
16,1.4852E+09,1.6405E+09
32,2.3581E+09,2.9703E+09
64,3.0068E+09,4.7162E+09
