No. Cores,Per Core Bandwidth (MB/s), Total Bandwidth (MB/s)
8,2.304e+04,1.843e+05
32,1.883e+04,6.025e+05
56,1.452e+04,8.131e+05
88,1.566e+04,1.378e+06
112,1.414e+04,1.584e+06
