nprocs,iterations,memory,wall_time,single_throughput,total_throughput,TotalMemory,PctMemory,Ideal
1,15,48315.3,724.603,60624400.0,20208100.0,48315.3,37.746328125000005,60624400.0
8,24,7140.54,158.118,444515000.0,92607300.0,57124.32,44.628375,484995200.0
32,33,1625.43,57.3876,1684040000.0,255157000.0,52013.76,40.63575,1939980800.0
56,41,1045.1,48.617,2469740000.0,301188000.0,58525.59999999999,45.723124999999996,3394966400.0
88,47,661.52,35.6454,3861460000.0,410793000.0,58213.759999999995,45.479499999999994,5334947200.0
112,46,559.891,31.278,4307010000.0,468153000.0,62707.791999999994,48.99046249999999,6789932800.0
