No. Gathers/Scatters,Pattern 0,Pattern 1,Pattern 2,Pattern 3,Pattern 4,Pattern 5,Pattern 6,Pattern 7,Pattern 8
512,478801.85,489531.28,475329.1,475329.1,472757.46,104356.69,103696.21,99296.97,99296.97
1024,769314.74,766502.89,750591.24,762600.73,766502.89,107084.97,107084.97,101763.97,101763.97
2048,1172248.18,1159287.98,1159929.18,1159929.18,1158007.7,108503.31,108323.97,103044.02,103532.39
4096,1343036.81,1342177.26,1355625.06,1342606.9,1343036.81,109409.01,109591.97,103614.23,103532.39
8192,1555173.87,1554885.67,1554885.67,1556905.7,1553158.33,109913.63,144991.15,137104.6,137176.35
16384,1677218.51,1680578.53,1676548.08,1675878.2,1671703.46,143052.66,143013.64,135265.22,187312.62
32768,2043883.24,2047749.98,2047624.98,2043883.24,2043634.21,198218.53,198518.74,187480.07,187413.05
65536,1767371.47,1767231.9,1767185.44,1767185.44,1767278.36,198518.74,198481.17,187446.54,187413.05
