No. Cores,Pattern 0,Pattern 1,Pattern 2,Pattern 3
1,6086.22,6035.59,8495.24,8408.53
2,12437.85,12074.69,16670.42,16721.56
4,24898.02,24551.69,34229.69,34412.9
8,49291.58,48057.33,66138.56,66120.75
16,94138.95,91245.87,126911.35,126722.48
22,123894.82,117578.83,171535.24,170963.21
32,153772.96,128804.39,195780.82,197262.78
44,140392.26,122831.87,221345.23,210226.99
