Data Transferred (MB), Total Bandwidth (MB/s)
4.194304,165078.09
8.388608,265866.11
16.777216,429392.31
33.554432,439102.17
66.951744,493802.7
133.903488,559647.46
267.806976,602387.4
535.613952,699687.98
1071.227904,637138.1
2142.455808,644057.86
4284.911616,1051799.12
8569.823232,1057764.7
